id1,Symbol,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
30811,BBBY,"[bed,bath,beyond,western,region]","[bed,bath,beyond]",Bed Bath & Beyond (Western Region),Bed Bath & Beyond Inc. Common Stock,0.6
27724,BMY,"[johnson,controls,bristol,myers,squibb]","[bristol,myers,squibb]","Johnson Controls, Inc. @ Bristol Myers Squibb",Bristol-Myers Squibb Company Common Stock,0.6
28950,CMG,"[chipotle,mexican,grill,nyc,office]","[chipotle,mexican,grill]","Chipotle Mexican Grill, Inc. (NYC Office)",Chipotle Mexican Grill Inc. Common Stock,0.6
30806,BBBY,"[bed,bath,beyond,central,region]","[bed,bath,beyond]",Bed Bath & Beyond (Central Region),Bed Bath & Beyond Inc. Common Stock,0.6
14623,EWCZ,"[european,wax,center]","[european,wax,center,class,a]",European Wax Center,European Wax Center Inc. Class A Common Stock,0.6
12257,NOG,"[extraction,oil,and,gas]","[northern,oil,and,gas]",Extraction Oil and Gas Inc,Northern Oil and Gas Inc. Common Stock,0.6
26102,CENT,"[four,paws,central,garden,pet]","[central,garden,pet]",Four Paws/Central Garden & Pet,Central Garden & Pet Company Common Stock,0.6
21832,FR,"[first,potomac,realty,trust]","[first,industrial,realty,trust]",First Potomac Realty Trust,First Industrial Realty Trust Inc. Common Stock,0.6
2435,LYV,"[live,nation,entertainment,corporate,division]","[live,nation,entertainment]","Live Nation Entertainment, Inc. Corporate Division",Live Nation Entertainment Inc. Common Stock,0.6
3311,TAP,"[molson,coors,beverage]","[molson,coors,beverage,class,b]",Molson Coors Beverage Company,Molson Coors Beverage Company Class B Common Stock,0.6
7217,SKX,"[yonekyu,u,s,a]","[skechers,u,s,a]","Yonekyu U.S.A., Inc.",Skechers U.S.A. Inc. Common Stock,0.6
38389,ESOA,"[food,services,of,america]","[energy,services,of,america]",Food Services of America,Energy Services of America Corporation Common Stock,0.6
20119,PACB,"[pacific,sunwear,of,california]","[pacific,biosciences,of,california]","Pacific Sunwear of California, LLC",Pacific Biosciences of California Inc. Common Stock,0.6
36607,JPM,"[jp,morgan,chase,mortgage,bank]","[jp,morgan,chase]",JP Morgan Chase-Mortgage Bank,JP Morgan Chase & Co. Common Stock,0.6
30261,NYT,"[intercontinental,new,york,times,square]","[new,york,times]",InterContinental New York Times Square,New York Times Company (The) Common Stock,0.6
16210,ESOA,"[ds,services,of,america]","[energy,services,of,america]","DS Services of America, Inc.",Energy Services of America Corporation Common Stock,0.6
24033,CASY,"[casey,s,general,store]","[casey,s,general,stores]",Casey's General Store,Casey's General Stores Inc. Common Stock,0.6
20270,WTS,"[watts,water,technologies]","[watts,water,technologies,class,a]","Watts Water Technologies, Inc.",Watts Water Technologies Inc. Class A Common Stock,0.6
28370,UNFI,"[gourmet,guru,united,natural,foods]","[united,natural,foods]",Gourmet Guru (United Natural Foods),United Natural Foods Inc. Common Stock,0.6
29672,MTB,"[m,t,bank,long,island]","[m,t,bank]",M&T Bank (Long Island),M&T Bank Corporation Common Stock,0.6
15843,SKX,"[nestle,u,s,a]","[skechers,u,s,a]",Nestle U.S.A.,Skechers U.S.A. Inc. Common Stock,0.6
29671,MTB,"[m,t,bank,staten,island]","[m,t,bank]",M&T Bank (Staten Island),M&T Bank Corporation Common Stock,0.6
17771,BAC,"[bank,of,america,loan,center]","[bank,of,america]",Bank Of America - Loan Center,Bank of America Corporation Common Stock,0.6
1646,BMY,"[bristol,myers,squibb,and,myokardia]","[bristol,myers,squibb]","Bristol-Myers Squibb and MyoKardia, Inc",Bristol-Myers Squibb Company Common Stock,0.6
28343,SKX,"[meopta,u,s,a]","[skechers,u,s,a]","Meopta U.S.A, Inc.",Skechers U.S.A. Inc. Common Stock,0.6
33475,ESOA,"[system,services,of,america]","[energy,services,of,america]",System Services of America Inc,Energy Services of America Corporation Common Stock,0.6
30838,SKX,"[muji,u,s,a]","[skechers,u,s,a]",MUJI U.S.A.,Skechers U.S.A. Inc. Common Stock,0.6
43552,BBWI,"[bath,and,body,works,direct]","[bath,body,works]","Bath and Body Works Direct, Inc",Bath & Body Works Inc.,0.6
13097,MTB,"[wilmington,trust,m,t,bank]","[m,t,bank]",Wilmington Trust/M&T Bank,M&T Bank Corporation Common Stock,0.6
31130,CSR,"[odeon,d,b,a,odeon]","[d,b,a,centerspace]","The Odeon, Inc. d/b/a The Odeon",D/B/A Centerspace Common Stock,0.6
6227,PLAY,"[dave,buster,rsquo,s]","[dave,buster,s,entertainment]",Dave & Buster&rsquo;s,Dave & Buster's Entertainment Inc. Common Stock,0.6
29073,AB,"[alliancebernstein,l,p]","[alliancebernstein,holding,l,p,units]",AllianceBernstein L.P.,AllianceBernstein Holding L.P.  Units,0.6
33319,AWI,"[armstrong,world,industries,st,helens]","[armstrong,world,industries]",Armstrong World Industries - St Helens,Armstrong World Industries Inc Common Stock,0.6
2628,LYV,"[live,nation,entertainment,vector,division]","[live,nation,entertainment]","Live Nation Entertainment, Inc. Vector Division",Live Nation Entertainment Inc. Common Stock,0.6
3069,LYV,"[live,nation,entertainment,ticketmaster,division]","[live,nation,entertainment]","Live Nation Entertainment, Inc. Ticketmaster Division",Live Nation Entertainment Inc. Common Stock,0.6
35502,BAC,"[bank,of,america,amon,carter]","[bank,of,america]",Bank of America-Amon Carter,Bank of America Corporation Common Stock,0.6
23350,FIS,"[fidelity,information,services,2019]","[fidelity,national,information,services]",Fidelity Information Services 2019,Fidelity National Information Services Inc. Common Stock,0.6
4560,LYV,"[live,nation,entertainment,sponsorship,division]","[live,nation,entertainment]",Live Nation Entertainment - Sponsorship Division,Live Nation Entertainment Inc. Common Stock,0.6
35882,JPM,"[jp,morgan,chase,banking,services]","[jp,morgan,chase]",JP Morgan Chase - Banking Services,JP Morgan Chase & Co. Common Stock,0.6
19536,SKX,"[pk,u,s,a]","[skechers,u,s,a]",PK U.S.A Inc.,Skechers U.S.A. Inc. Common Stock,0.6
42438,BBBY,"[bed,bath,beyond,eagan,2022]","[bed,bath,beyond]",Bed Bath Beyond Eagan 2022,Bed Bath & Beyond Inc. Common Stock,0.6
9014,LH,"[finance,of,america,holdings]","[laboratory,of,america,holdings]",Finance of America Holdings LLC,Laboratory Corporation of America Holdings Common Stock,0.6
7511,CAKE,"[cheesecake,factory,incorporated,dba,rocksugar,incorporated,rocksugar]","[cheesecake,factory,incorporated]",The Cheesecake Factory Incorporated dba RockSugar Incorporated - RockSugar,Cheesecake Factory Incorporated (The) Common Stock,0.6
39817,HCSG,"[knueppel,healthcare,services]","[healthcare,services]",Knueppel Healthcare Services Inc.,Healthcare Services Group Inc. Common Stock,0.6666666666666666
1378,ICE,"[intercontinental,exchange,nyse]","[intercontinental,exchange]",Intercontinental Exchange NYSE,Intercontinental Exchange Inc. Common Stock,0.6666666666666666
9986,MOH,"[molina,healthcare,mhi]","[molina,healthcare]","Molina Healthcare, Inc. (MHI)",Molina Healthcare Inc Common Stock,0.6666666666666666
41387,WFC,"[wells,fargo,wachovia]","[wells,fargo]",WELLS FARGO & COMPANY (WACHOVIA),Wells Fargo & Company Common Stock,0.6666666666666666
36656,AAL,"[american,airlines,dallas]","[american,airlines]",American Airlines - Dallas,American Airlines Group Inc. Common Stock,0.6666666666666666
12991,POR,"[general,electric]","[portland,general,electric]",General Electric,Portland General Electric Co Common Stock,0.6666666666666666
40725,AYI,"[acuity,brands,lighting]","[acuity,brands]",Acuity Brands Lighting,Acuity Brands Inc.,0.6666666666666666
1382,BHE,"[benchmark,electronics,phoenix]","[benchmark,electronics]","Benchmark Electronics Phoenix, Inc.",Benchmark Electronics Inc. Common Stock,0.6666666666666666
675,DDS,"[dillard,s,mobile]","[dillard,s]","DILLARD'S INC., MOBILE",Dillard's Inc. Common Stock,0.6666666666666666
1731,AIG,"[american,international]","[american,international,new]","American International Group, Inc",American International Group Inc. New Common Stock,0.6666666666666666
36830,IR,"[ingersoll,rand,dallas]","[ingersoll,rand]",Ingersoll Rand - Dallas,Ingersoll Rand Inc. Common Stock,0.6666666666666666
9740,NOC,"[northrop,grumman,aerospace]","[northrop,grumman]","Northrop Grumman Corporation, Aerospace",Northrop Grumman Corporation Common Stock,0.6666666666666666
36017,M,"[macy,s,ridgmar]","[macy,s]",Macy's-Ridgmar,Macy's Inc Common Stock,0.6666666666666666
5630,DKS,"[dick,s,sporting,goods,store,1232]","[dick,s,sporting,goods]",Dick's Sporting Goods Store #1232,Dick's Sporting Goods Inc Common Stock,0.6666666666666666
21870,HHS,"[harte,hanks,marketing]","[harte,hanks]","Harte Hanks Marketing, Inc.",Harte-Hanks Inc. Common Stock,0.6666666666666666
23760,T,"[at,t,communications]","[at,t]","AT&T Communications, Inc.",AT&T Inc.,0.6666666666666666
19831,USFD,"[us,foods]","[us,foods,holding]",US. Foods,US Foods Holding Corp. Common Stock,0.6666666666666666
10636,OMI,"[owens,minor,distribution]","[owens,minor]","Owens & Minor Distribution, Inc.",Owens & Minor Inc. Common Stock,0.6666666666666666
37763,NSC,"[norfolk,southern,ns]","[norfolk,southern]",Norfolk Southern Corporation-NS,Norfolk Southern Corporation Common Stock,0.6666666666666666
16330,GD,"[general,dynamics,satcom]","[general,dynamics]",General Dynamics SATCOM,General Dynamics Corporation Common Stock,0.6666666666666666
5701,DKS,"[dick,s,sporting,goods,store,1072]","[dick,s,sporting,goods]",Dick's Sporting Goods store #1072,Dick's Sporting Goods Inc Common Stock,0.6666666666666666
12573,VZ,"[verizon,xo,communications]","[verizon,communications]",Verizon/XO Communications,Verizon Communications Inc. Common Stock,0.6666666666666666
43346,TMPO,"[tempo,automation]","[tempo,automation,holdings]","Tempo Automation, Inc.",Tempo Automation Holdings Inc. Common Stock,0.6666666666666666
5604,DKS,"[dick,s,sporting,goods,store,1421]","[dick,s,sporting,goods]",Dick's Sporting Goods Store #1421,Dick's Sporting Goods Inc Common Stock,0.6666666666666666
19456,LLY,"[eli,lilly]","[eli,lilly,and]",Eli Lilly,Eli Lilly and Company Common Stock,0.6666666666666666
18830,KO,"[coca,cola,consolidated]","[coca,cola]","Coca-Cola Consolidated, Inc.",Coca-Cola Company (The) Common Stock,0.6666666666666666
1337,FCX,"[freeport,mcmoran,sierrita]","[freeport,mcmoran]",Freeport-McMoRan Sierrita Inc.,Freeport-McMoRan Inc. Common Stock,0.6666666666666666
33967,AAL,"[american,airlines,dfw]","[american,airlines]",American Airlines-DFW,American Airlines Group Inc. Common Stock,0.6666666666666666
5063,MPX,"[international,marine,products]","[marine,products]","International Marine Products, Inc.",Marine Products Corporation Common Stock,0.6666666666666666
35434,GD,"[general,dynamics,csra]","[general,dynamics]",General Dynamics-CSRA,General Dynamics Corporation Common Stock,0.6666666666666666
26543,ICFI,"[icf,macro,icf,international]","[icf,international]",ICF Macro/ICF International,ICF International Inc. Common Stock,0.6666666666666666
32097,WFC,"[wells,fargo,winterville]","[wells,fargo]",Wells Fargo (Winterville),Wells Fargo & Company Common Stock,0.6666666666666666
40226,UAL,"[united,airlines]","[united,airlines,holdings]",united airlines,United Airlines Holdings Inc. Common Stock,0.6666666666666666
17832,M,"[macy,s,east]","[macy,s]",Macy's East,Macy's Inc Common Stock,0.6666666666666666
29458,ACCO,"[acco,brands,usa]","[acco,brands]",ACCO Brands USA LLC,Acco Brands Corporation Common Stock,0.6666666666666666
5840,ANF,"[abercrombie,fitch,hco]","[abercrombie,fitch]",Abercrombie & Fitch HCo.,Abercrombie & Fitch Company Common Stock,0.6666666666666666
36902,BBY,"[best,buy,dealtree]","[best,buy]",Best Buy - Dealtree,Best Buy Co. Inc. Common Stock,0.6666666666666666
4866,DRI,"[darden,restaurants,m]","[darden,restaurants]","Darden Restaurants,m Inc.",Darden Restaurants Inc. Common Stock,0.6666666666666666
35655,M,"[macy,s,temple]","[macy,s]",Macy's-Temple,Macy's Inc Common Stock,0.6666666666666666
440,BFC,"[first,american,bank]","[bank,first]",FIRST AMERICAN BANK,Bank First Corporation Common Stock,0.6666666666666666
250,NOC,"[northrop,grumman,systems]","[northrop,grumman]",NORTHROP GRUMMAN SYSTEMS CORPORATION,Northrop Grumman Corporation Common Stock,0.6666666666666666
10864,WSM,"[williams,sonoma]","[williams,sonoma,de]","Williams-Sonoma, Inc.",Williams-Sonoma Inc. Common Stock (DE),0.6666666666666666
33957,CSGS,"[csg,systems]","[csg,systems,international]","CSG Systems, Inc.",CSG Systems International Inc. Common Stock,0.6666666666666666
39128,BCLI,"[cell,therapeutics]","[brainstorm,cell,therapeutics]","Cell Therapeutics, Inc",Brainstorm Cell Therapeutics Inc. Common Stock,0.6666666666666666
38189,UAL,"[united,airlines]","[united,airlines,holdings]","United Airlines, Inc",United Airlines Holdings Inc. Common Stock,0.6666666666666666
9395,CBU,"[community,bank]","[community,bank,system]",Community Bank,Community Bank System Inc. Common Stock,0.6666666666666666
38432,JELD,"[jeld,wen]","[jeld,wen,holding]",JELD WEN,JELD-WEN Holding Inc. Common Stock,0.6666666666666666
41552,GEHC,"[ge,healthcare]","[ge,healthcare,technologies]",GE HEALTHCARE,GE HealthCare Technologies Inc. Common Stock,0.6666666666666666
9230,AJRD,"[aerojet,rocketdyne]","[aerojet,rocketdyne,holdings]",Aerojet Rocketdyne,Aerojet Rocketdyne Holdings Inc. Common Stock,0.6666666666666666
5633,DKS,"[dick,s,sporting,goods,store,1049]","[dick,s,sporting,goods]",Dick's Sporting Goods Store #1049,Dick's Sporting Goods Inc Common Stock,0.6666666666666666
28423,RL,"[ralph,lauren,retail]","[ralph,lauren]","Ralph Lauren Retail, Inc.",Ralph Lauren Corporation Common Stock,0.6666666666666666
41031,AMN,"[healthcare,services]","[amn,healthcare,services,amn,healthcare,services]",Healthcare Services Group,AMN Healthcare Services Inc AMN Healthcare Services Inc,0.6666666666666666
35308,AAL,"[aramark,american,airlines]","[american,airlines]",Aramark-American Airlines,American Airlines Group Inc. Common Stock,0.6666666666666666
11762,NOC,"[northrop,grumman,technical]","[northrop,grumman]",Northrop Grumman Technical,Northrop Grumman Corporation Common Stock,0.6666666666666666
15442,SEM,"[select,medical]","[select,medical,holdings]",Select Medical,Select Medical Holdings Corporation Common Stock,0.6666666666666666
11895,HPE,"[hewlett,packard]","[hewlett,packard,enterprise]",Hewlett-Packard Company,Hewlett Packard Enterprise Company Common Stock,0.6666666666666666
33795,RAD,"[rite,aid,distribution]","[rite,aid]",Rite Aid Distribution,Rite Aid Corporation Common Stock,0.6666666666666666
35542,T,"[at,t,dallas]","[at,t]",AT&T - Dallas,AT&T Inc.,0.6666666666666666
42996,T,"[at,t,alabama]","[at,t]",AT&T Alabama,AT&T Inc.,0.6666666666666666
1914,UBER,"[postmates,uber,technologies]","[uber,technologies]","Postmates, LLC - Uber Technologies, Inc.",Uber Technologies Inc. Common Stock,0.6666666666666666
19281,IDR,"[strategic,resources]","[idaho,strategic,resources]",Strategic Resources Inc.,Idaho Strategic Resources Inc. Common Stock,0.6666666666666666
36477,ARW,"[arrow,electronics,austin]","[arrow,electronics]","Arrow Electronics, Inc.-Austin",Arrow Electronics Inc. Common Stock,0.6666666666666666
5770,TMPO,"[tempo,automation]","[tempo,automation,holdings]",Tempo Automation,Tempo Automation Holdings Inc. Common Stock,0.6666666666666666
24456,KO,"[coca,cola,refreshments]","[coca,cola]",Coca-Cola Refreshments,Coca-Cola Company (The) Common Stock,0.6666666666666666
36831,IR,"[ingersoll,rand,mcgregor]","[ingersoll,rand]",Ingersoll Rand - McGregor,Ingersoll Rand Inc. Common Stock,0.6666666666666666
6017,BOOT,"[boot,barn]","[boot,barn,holdings]",Boot Barn,Boot Barn Holdings Inc. Common Stock,0.6666666666666666
9573,POR,"[general,electric]","[portland,general,electric]",General Electric Company,Portland General Electric Co Common Stock,0.6666666666666666
37196,ETD,"[ethan,allen]","[ethan,allen,interiors]",Ethan Allen,Ethan Allen Interiors Inc. Common Stock,0.6666666666666666
1882,TJX,"[tjx,companies,marshalls]","[tjx,companies]","TJX Companies, Inc. - Marshalls",TJX Companies Inc. (The) Common Stock,0.6666666666666666
27431,SCI,"[aircraft,service,international]","[service,international]",Aircraft Service International Inc.,Service Corporation International Common Stock,0.6666666666666666
20434,KO,"[coca,cola,enterprises]","[coca,cola]","Coca-Cola Enterprises, Inc.",Coca-Cola Company (The) Common Stock,0.6666666666666666
17654,M,"[macy,s,peachtree]","[macy,s]",Macy's - Peachtree,Macy's Inc Common Stock,0.6666666666666666
39311,LYV,"[live,nation]","[live,nation,entertainment]",Live Nation,Live Nation Entertainment Inc. Common Stock,0.6666666666666666
2189,DGX,"[quest,diagnostics]","[quest,diagnostics,incorporated]",Quest Diagnostics,Quest Diagnostics Incorporated Common Stock,0.6666666666666666
41212,AMN,"[healthcare,services]","[amn,healthcare,services,amn,healthcare,services]","Healthcare Services Group, Inc.",AMN Healthcare Services Inc AMN Healthcare Services Inc,0.6666666666666666
17655,M,"[macy,s,lenox]","[macy,s]",Macy's - Lenox,Macy's Inc Common Stock,0.6666666666666666
32209,HUSA,"[american,energy]","[houston,american,energy]",American Energy Corporation,Houston American Energy Corporation Common Stock,0.6666666666666666
21318,ABM,"[abm,industries]","[abm,industries,incorporated]",ABM Industries,ABM Industries Incorporated Common Stock,0.6666666666666666
19274,FRME,"[first,merchants,bank]","[first,merchants]",First Merchants Bank,First Merchants Corporation Common Stock,0.6666666666666666
37065,GD,"[general,dynamics,it]","[general,dynamics]",General Dynamics IT,General Dynamics Corporation Common Stock,0.6666666666666666
20040,SPR,"[spirit,aerosystems]","[spirit,aerosystems,holdings]","Spirit AeroSystems, Inc.",Spirit Aerosystems Holdings Inc. Common Stock,0.6666666666666666
486,TSN,"[tyson,foods,heflin]","[tyson,foods]","TYSON FOODS, INC. (HEFLIN)",Tyson Foods Inc. Common Stock,0.6666666666666666
21463,DGX,"[quest,diagnostics]","[quest,diagnostics,incorporated]","Quest Diagnostics, Inc.",Quest Diagnostics Incorporated Common Stock,0.6666666666666666
5126,TPX,"[tempur,sealy]","[tempur,sealy,international]",Tempur Sealy,Tempur Sealy International Inc. Common Stock,0.6666666666666666
42788,FOXF,"[fox,factory]","[fox,factory,holding]","Fox Factory, Inc",Fox Factory Holding Corp. Common Stock,0.6666666666666666
17847,GPK,"[graphic,packaging]","[graphic,packaging,holding]",Graphic Packaging Corporation,Graphic Packaging Holding Company,0.6666666666666666
19274,FRBA,"[first,merchants,bank]","[first,bank]",First Merchants Bank,First Bank Common Stock,0.6666666666666666
32371,GE,"[general,electric,aviation]","[general,electric]",General Electric Aviation,General Electric Company Common Stock,0.6666666666666666
42053,PNC,"[pnc,financial]","[pnc,financial,services]",PNC FINANCIAL,PNC Financial Services Group Inc. (The) Common Stock,0.6666666666666666
34036,XOM,"[exxon,mobil,campus]","[exxon,mobil]",Exxon Mobil Campus,Exxon Mobil Corporation Common Stock,0.6666666666666666
31223,BNED,"[barnes,noble]","[barnes,noble,education]","Barnes & Noble, Inc.",Barnes & Noble Education Inc Common Stock,0.6666666666666666
10222,NOC,"[northrop,grumman,technology]","[northrop,grumman]",Northrop Grumman Technology,Northrop Grumman Corporation Common Stock,0.6666666666666666
17546,M,"[rich,s,macy]","[macy,s]",Rich's/macy,Macy's Inc Common Stock,0.6666666666666666
15984,COKE,"[coca,cola]","[coca,cola,consolidated]",Coca-Cola,Coca-Cola Consolidated Inc. Common Stock,0.6666666666666666
39124,JELD,"[jeld,wen]","[jeld,wen,holding]",Jeld Wen,JELD-WEN Holding Inc. Common Stock,0.6666666666666666
38841,WFC,"[wells,fargo,mortgage]","[wells,fargo]",Wells Fargo Mortgage,Wells Fargo & Company Common Stock,0.6666666666666666
23069,NSYS,"[nortech,systems]","[nortech,systems,incorporated]",Nortech Systems,Nortech Systems Incorporated Common Stock,0.6666666666666666
32564,M,"[macy,s,lorain]","[macy,s]",Macy's Lorain,Macy's Inc Common Stock,0.6666666666666666
19202,NOC,"[northrop,grumman,revised]","[northrop,grumman]",Northrop Grumman Revised,Northrop Grumman Corporation Common Stock,0.6666666666666666
24294,BKH,"[black,hills,energy]","[black,hills]",Black Hills Energy,Black Hills Corporation Common Stock,0.6666666666666666
488,TSN,"[tyson,foods,gadsden]","[tyson,foods]","TYSON FOODS, INC. (GADSDEN)",Tyson Foods Inc. Common Stock,0.6666666666666666
44646,WFC,"[wells,fargo,pvsi]","[wells,fargo]",Wells Fargo PVSI,Wells Fargo & Company Common Stock,0.6666666666666666
25844,AAL,"[north,american,airlines]","[american,airlines]",North American Airlines,American Airlines Group Inc. Common Stock,0.6666666666666666
15300,DNUT,"[krispy,kreme,doughnut]","[krispy,kreme]",Krispy Kreme Doughnut Corporation,Krispy Kreme Inc. Common Stock,0.6666666666666666
17676,GIS,"[general,mills,operations]","[general,mills]","General Mills Operations, Inc.",General Mills Inc. Common Stock,0.6666666666666666
14197,LEG,"[leggett,platt]","[leggett,platt,incorporated]","Leggett & Platt, Inc.",Leggett & Platt Incorporated Common Stock,0.6666666666666666
23977,UNP,"[union,pacific,railroad]","[union,pacific]",Union Pacific Railroad,Union Pacific Corporation Common Stock,0.6666666666666666
10139,LMT,"[lockheed,martin,rotary]","[lockheed,martin]",Lockheed Martin Corporation Rotary &,Lockheed Martin Corporation Common Stock,0.6666666666666666
36661,AAL,"[american,airlines,dallas2]","[american,airlines]",American Airlines-Dallas2,American Airlines Group Inc. Common Stock,0.6666666666666666
16876,LMT,"[lockheed,martin,afss]","[lockheed,martin]",Lockheed Martin Afss,Lockheed Martin Corporation Common Stock,0.6666666666666666
